source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[human leukocyte antigen]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism part]	Factor Value[human leukocyte antigen]
PXD019643-Sample-9	Homo sapiens	spleen	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN14	1	organism part	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	170506_AM_AUT01-DN14_Spleen_Tue39L243_10_DDA_2_400-1000mz_msms26_standard.mzML	170506_AM_AUT01-DN14_Spleen_Tue39L243_10_DDA_2_400-1000mz_msms26_standard.mzML	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	spleen	Human leukocyte antigen class II
PXD019643-Sample-9	Homo sapiens	spleen	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN14	1	organism part	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	170506_AM_AUT01-DN14_Spleen_Tue39L243_10_DDA_3_400-1000mz_msms27_standard.mzML	170506_AM_AUT01-DN14_Spleen_Tue39L243_10_DDA_3_400-1000mz_msms27_standard.mzML	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	spleen	Human leukocyte antigen class II
PXD019643-Sample-10	Homo sapiens	spleen	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN17	1	organism part	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	171002_AM_AUT01-DN17_Spleen_Tue39L243_10_DDA_1_400-1000mz_msms10_standard.mzML	171002_AM_AUT01-DN17_Spleen_Tue39L243_10_DDA_1_400-1000mz_msms10_standard.mzML	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	spleen	Human leukocyte antigen class II
PXD019643-Sample-10	Homo sapiens	spleen	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN17	1	organism part	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	171002_AM_AUT01-DN17_Spleen_Tue39L243_10_DDA_2_400-1000mz_msms11_standard.mzML	171002_AM_AUT01-DN17_Spleen_Tue39L243_10_DDA_2_400-1000mz_msms11_standard.mzML	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	spleen	Human leukocyte antigen class II
PXD019643-Sample-10	Homo sapiens	spleen	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN17	1	organism part	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	171002_AM_AUT01-DN17_Spleen_Tue39L243_10_DDA_3_400-1000mz_msms12_standard.mzML	171002_AM_AUT01-DN17_Spleen_Tue39L243_10_DDA_3_400-1000mz_msms12_standard.mzML	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	spleen	Human leukocyte antigen class II
PXD019643-Sample-11	Homo sapiens	liver	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN13	1	organism part	run 16	proteomic profiling by mass spectrometry	data-dependent acquisition	161115_AM_AUT01-DN13_Liver_Tue39L243_10_DDA_1_400-1000mz_msms17_standard.mzML	161115_AM_AUT01-DN13_Liver_Tue39L243_10_DDA_1_400-1000mz_msms17_standard.mzML	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	liver	Human leukocyte antigen class II
PXD019643-Sample-11	Homo sapiens	liver	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN13	1	organism part	run 17	proteomic profiling by mass spectrometry	data-dependent acquisition	161115_AM_AUT01-DN13_Liver_Tue39L243_10_DDA_2_400-1000mz_msms18_standard.mzML	161115_AM_AUT01-DN13_Liver_Tue39L243_10_DDA_2_400-1000mz_msms18_standard.mzML	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	liver	Human leukocyte antigen class II
PXD019643-Sample-11	Homo sapiens	liver	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN13	1	organism part	run 18	proteomic profiling by mass spectrometry	data-dependent acquisition	161115_AM_AUT01-DN13_Liver_Tue39L243_10_DDA_3_400-1000mz_msms19_standard.mzML	161115_AM_AUT01-DN13_Liver_Tue39L243_10_DDA_3_400-1000mz_msms19_standard.mzML	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	liver	Human leukocyte antigen class II
PXD019643-Sample-15	Homo sapiens	cerebellum	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN08	1	organism part	run 19	proteomic profiling by mass spectrometry	data-dependent acquisition	161104_AM_AUT01-DN08_Cerebellum_Tue39L243_10_DDA_1_400-1000mz_msms4_standard.mzML	161104_AM_AUT01-DN08_Cerebellum_Tue39L243_10_DDA_1_400-1000mz_msms4_standard.mzML	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	cerebellum	Human leukocyte antigen class II
PXD019643-Sample-15	Homo sapiens	cerebellum	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN08	1	organism part	run 20	proteomic profiling by mass spectrometry	data-dependent acquisition	161104_AM_AUT01-DN08_Cerebellum_Tue39L243_10_DDA_2_400-1000mz_msms5_standard.mzML	161104_AM_AUT01-DN08_Cerebellum_Tue39L243_10_DDA_2_400-1000mz_msms5_standard.mzML	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	cerebellum	Human leukocyte antigen class II
PXD019643-Sample-15	Homo sapiens	cerebellum	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN08	1	organism part	run 21	proteomic profiling by mass spectrometry	data-dependent acquisition	161104_AM_AUT01-DN08_Cerebellum_Tue39L243_10_DDA_3_400-1000mz_msms6_standard.mzML	161104_AM_AUT01-DN08_Cerebellum_Tue39L243_10_DDA_3_400-1000mz_msms6_standard.mzML	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	cerebellum	Human leukocyte antigen class II
PXD019643-Sample-17	Homo sapiens	skin	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN11	1	organism part	run 22	proteomic profiling by mass spectrometry	data-dependent acquisition	180103_AM_AUT01-DN11_Skin_Tue39L243_10_DDA_1_400-1000mz_msms10_standard.mzML	180103_AM_AUT01-DN11_Skin_Tue39L243_10_DDA_1_400-1000mz_msms10_standard.mzML	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	skin	Human leukocyte antigen class II
PXD019643-Sample-17	Homo sapiens	skin	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN11	1	organism part	run 23	proteomic profiling by mass spectrometry	data-dependent acquisition	180103_AM_AUT01-DN11_Skin_Tue39L243_10_DDA_2_400-1000mz_msms11_standard.mzML	180103_AM_AUT01-DN11_Skin_Tue39L243_10_DDA_2_400-1000mz_msms11_standard.mzML	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	skin	Human leukocyte antigen class II
PXD019643-Sample-17	Homo sapiens	skin	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN11	1	organism part	run 24	proteomic profiling by mass spectrometry	data-dependent acquisition	180103_AM_AUT01-DN11_Skin_Tue39L243_10_DDA_3_400-1000mz_msms12_standard.mzML	180103_AM_AUT01-DN11_Skin_Tue39L243_10_DDA_3_400-1000mz_msms12_standard.mzML	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	skin	Human leukocyte antigen class II
PXD019643-Sample-19	Homo sapiens	spleen	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN03	1	organism part	run 25	proteomic profiling by mass spectrometry	data-dependent acquisition	180925_AM_AUT01-DN03_Spleen_Tue39L243_NA_DDA_1_400-1000mz_msms8_Refill.mzML	180925_AM_AUT01-DN03_Spleen_Tue39L243_NA_DDA_1_400-1000mz_msms8_Refill.mzML	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	spleen	Human leukocyte antigen class II
PXD019643-Sample-19	Homo sapiens	spleen	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN03	1	organism part	run 26	proteomic profiling by mass spectrometry	data-dependent acquisition	180925_AM_AUT01-DN03_Spleen_Tue39L243_NA_DDA_2_400-1000mz_msms9_Refill.mzML	180925_AM_AUT01-DN03_Spleen_Tue39L243_NA_DDA_2_400-1000mz_msms9_Refill.mzML	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	spleen	Human leukocyte antigen class II
PXD019643-Sample-19	Homo sapiens	spleen	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN03	1	organism part	run 27	proteomic profiling by mass spectrometry	data-dependent acquisition	180925_AM_AUT01-DN03_Spleen_Tue39L243_NA_DDA_3_400-1000mz_msms10_Refill.mzML	180925_AM_AUT01-DN03_Spleen_Tue39L243_NA_DDA_3_400-1000mz_msms10_Refill.mzML	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	spleen	Human leukocyte antigen class II
PXD019643-Sample-20	Homo sapiens	bone marrow	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN08	1	organism part	run 28	proteomic profiling by mass spectrometry	data-dependent acquisition	160711_AM_AUT01-DN08_BoneMarrow_Tue39L243_20_DDA_1_400-1000mz_msms25_standard.mzML	160711_AM_AUT01-DN08_BoneMarrow_Tue39L243_20_DDA_1_400-1000mz_msms25_standard.mzML	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	bone marrow	Human leukocyte antigen class II
PXD019643-Sample-20	Homo sapiens	bone marrow	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN08	1	organism part	run 29	proteomic profiling by mass spectrometry	data-dependent acquisition	160711_AM_AUT01-DN08_BoneMarrow_Tue39L243_20_DDA_2_400-1000mz_msms26_standard.mzML	160711_AM_AUT01-DN08_BoneMarrow_Tue39L243_20_DDA_2_400-1000mz_msms26_standard.mzML	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	bone marrow	Human leukocyte antigen class II
PXD019643-Sample-20	Homo sapiens	bone marrow	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN08	1	organism part	run 30	proteomic profiling by mass spectrometry	data-dependent acquisition	160711_AM_AUT01-DN08_BoneMarrow_Tue39L243_20_DDA_3_400-1000mz_msms27_standard.mzML	160711_AM_AUT01-DN08_BoneMarrow_Tue39L243_20_DDA_3_400-1000mz_msms27_standard.mzML	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	bone marrow	Human leukocyte antigen class II
PXD019643-Sample-21	Homo sapiens	lymphnode	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN11	1	organism part	run 31	proteomic profiling by mass spectrometry	data-dependent acquisition	171107_AM_AUT01-DN11_LymphNode_Tue39L243_10_DDA_1_400-1000mz_msms1_standard.mzML	171107_AM_AUT01-DN11_LymphNode_Tue39L243_10_DDA_1_400-1000mz_msms1_standard.mzML	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	lymphnode	Human leukocyte antigen class II
PXD019643-Sample-21	Homo sapiens	lymphnode	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN11	1	organism part	run 32	proteomic profiling by mass spectrometry	data-dependent acquisition	171107_AM_AUT01-DN11_LymphNode_Tue39L243_10_DDA_2_400-1000mz_msms2_standard.mzML	171107_AM_AUT01-DN11_LymphNode_Tue39L243_10_DDA_2_400-1000mz_msms2_standard.mzML	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	lymphnode	Human leukocyte antigen class II
PXD019643-Sample-21	Homo sapiens	lymphnode	not available	not available	Human leukocyte antigen class II	not available	not applicable	not available	AUT01-DN11	1	organism part	run 33	proteomic profiling by mass spectrometry	data-dependent acquisition	171107_AM_AUT01-DN11_LymphNode_Tue39L243_10_DDA_3_400-1000mz_msms3_standard.mzML	171107_AM_AUT01-DN11_LymphNode_Tue39L243_10_DDA_3_400-1000mz_msms3_standard.mzML	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001956;NT=Unspecific cleavage	NT=HCD;AC=PRIDE:0000590	30% NCE	5 ppm	0.02 Da	lymphnode	Human leukocyte antigen class II
